name,artist,genre,popularity,releaseDate,releaseYear,releaseMonth,timePeriod,energy,danceability,loudness,liveness,valence,speechiness,instrumentalness,acousticness,tempo,timeSignature,mode,key,durationMin,popularityGroup
Die With A Smile,"Lady Gaga, Bruno Mars",pop,100,2024-08-16,2024,8,2020s,0.592,0.521,-7.777,0.122,0.535,0.0304,0.0,0.308,157.969,3,0,6,4.19,High popularity
BIRDS OF A FEATHER,Billie Eilish,pop,97,2024-05-17,2024,5,2020s,0.507,0.747,-10.171,0.117,0.438,0.0358,0.0608,0.2,104.978,4,1,2,3.51,High popularity
That’s So True,Gracie Abrams,pop,93,2024-10-18,2024,10,2020s,0.808,0.554,-4.169,0.159,0.372,0.0368,0.0,0.214,108.548,4,1,1,2.77,High popularity
Taste,Sabrina Carpenter,pop,81,2024-08-23,2024,8,2020s,0.91,0.67,-4.07,0.304,0.786,0.0634,0.0,0.0939,112.966,4,0,0,2.62,High popularity
APT.,"ROSÉ, Bruno Mars",pop,98,2024-10-18,2024,10,2020s,0.783,0.777,-4.477,0.355,0.939,0.26,0.0,0.0283,149.027,4,0,0,2.83,High popularity
"Good Luck, Babe!",Chappell Roan,pop,94,2024-04-05,2024,4,2020s,0.582,0.7,-5.96,0.0881,0.785,0.0356,0.0,0.0502,116.712,4,0,11,3.64,High popularity
Diet Pepsi,Addison Rae,pop,88,2024-08-09,2024,8,2020s,0.561,0.669,-6.538,0.0954,0.841,0.0411,0.00962,0.495,150.069,4,1,10,2.83,High popularity
WILDFLOWER,Billie Eilish,pop,93,2024-05-17,2024,5,2020s,0.247,0.467,-12.002,0.17,0.126,0.0431,0.000271,0.612,148.101,4,0,6,4.36,High popularity
Sailor Song,Gigi Perez,pop,71,2024-07-26,2024,7,2020s,0.416,0.492,-10.439,0.203,0.297,0.0254,8.61e-05,0.686,94.926,4,1,11,3.53,High popularity
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",pop,92,2024-09-27,2024,9,2020s,0.722,0.769,-5.485,0.111,0.57,0.0507,2.56e-06,0.0584,119.973,4,0,11,4.27,High popularity
Guess featuring billie eilish,"Charli xcx, Billie Eilish",pop,85,2024-08-01,2024,8,2020s,0.667,0.776,-6.622,0.0761,0.618,0.0983,0.3,0.0146,130.019,4,1,7,2.42,High popularity
Please Please Please,Sabrina Carpenter,pop,88,2024-06-06,2024,6,2020s,0.586,0.669,-6.073,0.104,0.579,0.054,0.0,0.274,107.071,4,1,9,3.11,High popularity
2 hands,Tate McRae,pop,79,2024-11-14,2024,11,2020s,0.806,0.608,-3.443,0.191,0.587,0.0486,0.0,0.121,104.032,4,1,1,3.03,High popularity
A Bar Song (Tipsy),Shaboozey,pop,86,2024-04-12,2024,4,2020s,0.709,0.722,-4.95,0.0804,0.604,0.0273,0.0,0.0633,81.012,4,1,9,2.85,High popularity
HOT TO GO!,Chappell Roan,pop,88,2023-09-22,2023,9,2020s,0.757,0.742,-4.981,0.305,0.957,0.0421,0.0,0.0187,139.982,4,1,6,3.08,High popularity
Disease,Lady Gaga,pop,86,2024-10-25,2024,10,2020s,0.917,0.562,-2.768,0.488,0.501,0.117,0.0,0.0513,100.987,4,0,11,3.83,High popularity
Moonlit Floor (Kiss Me),LISA,pop,82,2024-10-08,2024,10,2020s,0.787,0.734,-3.951,0.312,0.672,0.116,0.0,0.126,109.939,4,0,5,2.6,High popularity
Love Somebody,Morgan Wallen,pop,86,2024-10-18,2024,10,2020s,0.843,0.619,-5.348,0.164,0.746,0.0284,0.000118,0.00948,122.064,4,0,5,3.41,High popularity
"I Love You, I'm Sorry",Gracie Abrams,pop,90,2024-06-21,2024,6,2020s,0.406,0.53,-7.507,0.133,0.338,0.033,0.0,0.656,115.94,3,1,10,2.62,High popularity
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",pop,86,2024-06-07,2024,6,2020s,0.782,0.727,-8.529,0.225,0.655,0.042,0.336,0.0563,119.992,4,0,8,2.96,High popularity
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",pop,88,2024-10-28,2024,10,2020s,0.812,0.505,-3.986,0.444,0.664,0.461,0.0,0.285,80.09,4,1,1,4.27,High popularity
Espresso,Sabrina Carpenter,pop,90,2024-04-12,2024,4,2020s,0.76,0.701,-5.478,0.185,0.69,0.0285,6.54e-05,0.107,103.969,4,1,0,2.92,High popularity
Mantra,JENNIE,pop,89,2024-10-10,2024,10,2020s,0.725,0.894,-4.984,0.0815,0.838,0.0432,1.15e-05,0.00434,116.988,4,0,10,2.28,High popularity
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",pop,82,2024-11-15,2024,11,2020s,0.563,0.833,-5.593,0.139,0.343,0.204,1.27e-05,0.528,105.008,4,0,4,3.05,High popularity
NEW DROP,Don Toliver,pop,85,2024-06-14,2024,6,2020s,0.628,0.757,-6.715,0.221,0.321,0.101,0.0209,0.189,119.98,4,0,4,3.62,High popularity
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",pop,84,2024-05-10,2024,5,2020s,0.855,0.638,-4.86,0.245,0.731,0.0264,0.0,0.00757,127.986,4,1,7,2.97,High popularity
Too Sweet,Hozier,pop,77,2024-03-22,2024,3,2020s,0.62,0.741,-5.505,0.0398,0.934,0.0412,0.000809,0.0295,117.038,4,1,10,4.19,High popularity
No One Noticed,The Marías,pop,84,2024-05-31,2024,5,2020s,0.339,0.705,-10.612,0.12,0.457,0.0278,0.0814,0.552,97.989,4,1,7,3.95,High popularity
Tu Boda,"Oscar Maydon, Fuerza Regida",pop,93,2024-09-26,2024,9,2020s,0.651,0.694,-6.968,0.0787,0.471,0.0784,1.36e-05,0.496,112.648,3,1,6,3.76,High popularity
Stargazing,Myles Smith,pop,88,2024-05-10,2024,5,2020s,0.601,0.635,-6.129,0.11,0.332,0.0295,0.0,0.246,123.994,4,0,1,2.88,High popularity
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",pop,70,2024-10-10,2024,10,2020s,0.691,0.836,-4.222,0.282,0.703,0.363,0.0,0.00586,167.029,4,1,1,2.49,High popularity
we can't be friends (wait for your love),Ariana Grande,pop,81,2024-03-08,2024,3,2020s,0.646,0.645,-8.334,0.074,0.295,0.0427,3.04e-05,0.0615,115.842,4,1,5,3.81,High popularity
Beautiful Things,Benson Boone,pop,85,2024-01-18,2024,1,2020s,0.471,0.472,-5.692,0.14,0.219,0.0603,0.0,0.151,105.029,3,1,10,3.01,High popularity
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",pop,84,2024-10-17,2024,10,2020s,0.709,0.744,-5.778,0.0847,0.712,0.284,0.0,0.0501,194.055,4,0,6,2.18,High popularity
Touch,KATSEYE,pop,85,2024-07-26,2024,7,2020s,0.904,0.739,-2.655,0.0948,0.788,0.0442,1.03e-05,0.549,167.033,4,0,5,2.16,High popularity
Lose Control,Teddy Swims,pop,89,2023-09-15,2023,9,2020s,0.604,0.561,-4.409,0.104,0.242,0.0337,1.9e-05,0.199,159.92,3,1,9,3.51,High popularity
Belong Together,Mark Ambor,pop,82,2024-02-16,2024,2,2020s,0.668,0.646,-5.203,0.212,0.64,0.0282,0.0,0.491,90.969,4,1,2,2.47,High popularity
Si Antes Te Hubiera Conocido,KAROL G,pop,93,2024-06-21,2024,6,2020s,0.668,0.924,-6.795,0.0678,0.787,0.0469,0.000594,0.446,128.027,4,1,11,3.26,High popularity
End of Beginning,Djo,pop,89,2022-09-16,2022,9,2020s,0.454,0.689,-7.643,0.0707,0.912,0.0584,0.00259,0.0351,159.982,4,1,2,2.65,High popularity
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",pop,84,2024-04-18,2024,4,2020s,0.386,0.504,-10.976,0.0961,0.281,0.0308,1.53e-05,0.502,192.004,4,1,11,3.82,High popularity
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",pop,89,2024-09-20,2024,9,2020s,0.681,0.56,-6.304,0.106,0.388,0.244,0.0,0.103,155.079,4,0,6,3.72,High popularity
Not Like Us,Kendrick Lamar,pop,88,2024-05-04,2024,5,2020s,0.472,0.898,-7.001,0.141,0.214,0.0776,0.0,0.0107,101.061,4,1,1,4.57,High popularity
Running Wild,Jin,pop,85,2024-11-15,2024,11,2020s,0.711,0.487,-4.22,0.152,0.317,0.0322,0.0,0.000175,146.921,4,1,8,2.53,High popularity
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",pop,84,2024-11-08,2024,11,2020s,0.712,0.848,-3.574,0.106,0.692,0.0981,0.0,0.221,91.98,4,0,1,4.97,High popularity
Embrace It,Ndotz,pop,87,2024-08-23,2024,8,2020s,0.645,0.882,-7.233,0.057,0.788,0.0601,4.13e-05,0.475,114.933,4,1,1,1.74,High popularity
The Emptiness Machine,Linkin Park,pop,89,2024-09-05,2024,9,2020s,0.872,0.466,-3.344,0.121,0.806,0.0336,0.0,0.0156,184.115,4,1,7,3.17,High popularity
Who,Jimin,pop,92,2024-07-19,2024,7,2020s,0.756,0.66,-3.743,0.193,0.838,0.032,0.0,0.00289,116.034,4,0,0,2.85,High popularity
Hotel California - 2013 Remaster,Eagles,rock,81,1976-12-08,1976,12,pre-1980,0.508,0.579,-9.484,0.0575,0.609,0.027,0.000494,0.00574,147.125,4,1,2,6.52,High popularity
Thunderstruck,AC/DC,rock,83,1990-09-24,1990,9,1990s,0.89,0.502,-5.175,0.217,0.259,0.0364,0.0117,0.000147,133.52,4,1,4,4.88,High popularity
Seven Nation Army,The White Stripes,rock,82,2003-04-01,2003,4,2000s,0.446,0.743,-7.807,0.337,0.278,0.0683,0.118,0.0039,123.596,4,0,4,3.87,High popularity
Creep,Radiohead,rock,86,1993-02-22,1993,2,1990s,0.43,0.515,-9.935,0.129,0.104,0.0372,0.000133,0.0097,91.844,4,1,7,3.98,High popularity
Come As You Are,Nirvana,rock,76,1991-09-26,1991,9,1990s,0.824,0.5,-5.846,0.0916,0.539,0.0388,0.00161,0.00016,120.125,4,0,4,3.65,High popularity
Californication,Red Hot Chili Peppers,rock,81,1999-06-08,1999,6,1990s,0.767,0.592,-2.788,0.127,0.328,0.027,0.00165,0.0021,96.483,4,0,9,5.5,High popularity
Sweet Child O' Mine,Guns N' Roses,rock,84,1987-07-21,1987,7,1980s,0.952,0.445,-5.321,0.112,0.624,0.0522,0.0843,0.09,125.304,4,1,6,5.93,High popularity
"Paint It, Black",The Rolling Stones,rock,81,1966-04-15,1966,4,pre-1980,0.795,0.464,-9.267,0.399,0.612,0.0926,0.00244,0.0493,158.691,4,1,1,3.37,High popularity
Dreams - 2004 Remaster,Fleetwood Mac,rock,84,1977-02-04,1977,2,pre-1980,0.492,0.828,-9.744,0.128,0.789,0.0276,0.00428,0.0644,120.151,4,1,0,4.3,High popularity
Everlong,Foo Fighters,rock,81,1997-05-20,1997,5,1990s,0.881,0.413,-5.541,0.0805,0.364,0.0367,0.000308,5.99e-05,158.066,4,0,11,4.18,High popularity
I Love Rock 'N Roll,Joan Jett & the Blackhearts,rock,77,1981-11-18,1981,11,1980s,0.716,0.535,-5.025,0.659,0.901,0.0431,0.0,0.326,94.379,4,1,4,2.92,High popularity
"Another Brick in the Wall, Pt. 2",Pink Floyd,rock,74,1979-11-30,1979,11,pre-1980,0.394,0.693,-15.882,0.247,0.721,0.0428,0.000694,0.0782,104.114,4,1,0,3.98,High popularity
Runaway,Bon Jovi,rock,72,1984-01-23,1984,1,1980s,0.899,0.475,-4.321,0.14,0.603,0.0637,1.91e-05,0.00375,152.445,4,0,9,3.84,High popularity
Basket Case,Green Day,rock,80,1994-02-01,1994,2,1990s,0.943,0.442,-3.205,0.091,0.781,0.0602,8.71e-06,0.00293,85.064,4,1,3,3.03,High popularity
Under the Bridge,Red Hot Chili Peppers,rock,82,1991-09-24,1991,9,1990s,0.345,0.559,-13.496,0.141,0.458,0.0459,0.000105,0.0576,84.581,4,1,4,4.41,High popularity
White Wedding - Pt. 1,Billy Idol,rock,70,1982-01-01,1982,1,1980s,0.814,0.673,-5.411,0.343,0.728,0.0367,0.00293,0.0134,147.193,4,1,9,4.2,High popularity
You Shook Me All Night Long,AC/DC,rock,81,1980-07-25,1980,7,1980s,0.767,0.532,-5.509,0.39,0.755,0.0574,0.000513,0.00287,127.361,4,1,7,3.5,High popularity
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,rock,76,1965-07-30,1965,7,pre-1980,0.863,0.723,-7.89,0.128,0.931,0.0338,0.0317,0.0383,136.302,4,1,2,3.71,High popularity
Starman - 2012 Remaster,David Bowie,rock,76,1972-06-06,1972,6,pre-1980,0.449,0.486,-10.298,0.54,0.549,0.0267,2.23e-06,0.166,100.456,4,1,5,4.24,High popularity
Whole Lotta Love - 1990 Remaster,Led Zeppelin,rock,72,1969-10-22,1969,10,pre-1980,0.902,0.412,-11.6,0.405,0.422,0.405,0.131,0.0484,89.74,4,1,9,5.56,High popularity
Riders on the Storm,The Doors,rock,70,1971-04-19,1971,4,pre-1980,0.722,0.55,-11.729,0.11,0.716,0.0283,0.0129,0.25,103.886,4,0,11,7.25,High popularity
Even Flow,Pearl Jam,rock,77,1991-08-27,1991,8,1990s,0.944,0.394,-6.506,0.298,0.265,0.0761,4.54e-06,0.00178,105.338,4,0,10,4.88,High popularity
Born in the U.S.A.,Bruce Springsteen,rock,72,1984-06-04,1984,6,1980s,0.952,0.398,-6.042,0.1,0.584,0.061,7.75e-05,0.000373,122.093,4,1,4,4.64,High popularity
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,79,1997-09-29,1997,9,1990s,0.917,0.356,-6.006,0.406,0.518,0.0479,0.0,0.0335,171.176,4,1,9,5.95,High popularity
Don't Cry (Original),Guns N' Roses,rock,75,1991-09-17,1991,9,1990s,0.589,0.455,-8.64,0.104,0.254,0.0328,0.00358,0.00184,124.634,4,1,11,4.73,High popularity
All Along the Watchtower,Jimi Hendrix,rock,72,1968-10-25,1968,10,pre-1980,0.805,0.438,-6.237,0.0842,0.564,0.0624,5.69e-05,0.00255,113.253,4,1,8,4.01,High popularity
In The Air Tonight - 2015 Remastered,Phil Collins,rock,76,1981-01-01,1981,1,1980s,0.239,0.446,-13.945,0.0697,0.298,0.0316,4.1e-06,0.551,189.507,4,1,0,5.61,High popularity
Psycho Killer - 2005 Remaster,Talking Heads,rock,76,1977-09-16,1977,9,pre-1980,0.521,0.721,-8.123,0.127,0.942,0.0613,0.00545,0.0708,123.118,4,1,2,4.36,High popularity
Are You Gonna Go My Way,Lenny Kravitz,rock,71,1993-03-09,1993,3,1990s,0.67,0.619,-10.322,0.331,0.777,0.0353,0.0109,0.00165,129.269,4,0,11,3.53,High popularity
Master of Puppets (Remastered),Metallica,rock,70,1986-03-03,1986,3,1980s,0.828,0.539,-9.108,0.154,0.562,0.035,0.421,0.00067,105.25,4,0,4,8.59,High popularity
Everywhere - 2017 Remaster,Fleetwood Mac,rock,79,1987-04-13,1987,4,1980s,0.487,0.73,-10.991,0.0852,0.731,0.0303,0.01,0.258,114.965,4,1,4,3.78,High popularity
Have You Ever Seen The Rain,Creedence Clearwater Revival,rock,84,1970-12-07,1970,12,pre-1980,0.697,0.741,-7.028,0.133,0.774,0.0277,2.28e-05,0.0664,116.109,4,1,0,2.67,High popularity
Just What I Needed,The Cars,rock,69,1978-06-06,1978,6,pre-1980,0.579,0.62,-9.307,0.0858,0.691,0.0473,6.4e-05,0.0152,127.215,4,1,4,3.76,Medium popularity
Smells Like Teen Spirit,Nirvana,rock,76,1991-09-26,1991,9,1990s,0.912,0.502,-4.556,0.106,0.72,0.0564,0.000173,2.55e-05,116.761,4,1,1,5.03,High popularity
Come Together - Remastered 2009,The Beatles,rock,75,1969-09-26,1969,9,pre-1980,0.376,0.53,-11.913,0.0926,0.188,0.04,0.247,0.0304,164.775,4,0,9,4.33,High popularity
Song 2 - 2012 Remaster,Blur,rock,78,1997-02-10,1997,2,1990s,0.789,0.674,-6.903,0.0753,0.918,0.0676,0.00708,0.00178,129.802,4,1,8,2.02,High popularity
Where Is My Mind? - 2007 Remaster,Pixies,rock,76,1988-03-21,1988,3,1980s,0.441,0.519,-14.178,0.076,0.25,0.0353,0.000453,0.0204,81.334,4,1,4,3.92,High popularity
Another One Bites The Dust - Remastered 2011,Queen,rock,71,1980-06-27,1980,6,1980s,0.528,0.932,-6.472,0.163,0.757,0.161,0.329,0.115,109.975,4,0,5,3.58,High popularity
Uprising,Muse,rock,75,2009-09-10,2009,9,2000s,0.905,0.602,-4.046,0.117,0.411,0.0775,0.064,0.000202,128.019,4,1,2,5.08,High popularity
For What It's Worth,Buffalo Springfield,rock,76,1966-12-05,1966,12,pre-1980,0.519,0.653,-10.164,0.101,0.822,0.0497,0.0209,0.406,98.883,4,1,2,2.56,High popularity
You Really Got Me - 2015 Remaster,Van Halen,rock,68,1978-02-10,1978,2,pre-1980,0.946,0.454,-5.978,0.173,0.647,0.13,0.0,0.0223,138.18,4,0,1,2.6,Medium popularity
Black Hole Sun,Soundgarden,rock,76,1994-03-09,1994,3,1990s,0.828,0.35,-5.373,0.0774,0.147,0.041,0.000161,0.000217,105.435,4,1,6,5.31,High popularity
Black Magic Woman - Single Version,Santana,rock,70,1994-07-01,1994,7,1990s,0.349,0.489,-14.295,0.0866,0.622,0.0323,0.0789,0.676,124.348,4,0,2,3.27,High popularity
Fly Away,Lenny Kravitz,rock,73,1998-05-12,1998,5,1990s,0.872,0.587,-5.066,0.622,0.735,0.0484,0.0,0.018,159.925,4,1,7,3.69,High popularity
Message In A Bottle,The Police,rock,75,1979-10-02,1979,10,pre-1980,0.808,0.577,-7.04,0.221,0.869,0.039,1.33e-05,0.0338,151.008,4,0,1,4.84,High popularity
Back In Black,AC/DC,rock,83,1980-07-25,1980,7,1980s,0.7,0.31,-5.678,0.0828,0.763,0.047,0.00965,0.011,188.386,4,1,9,4.26,High popularity
Barracuda,Heart,rock,74,1977-05-14,1977,5,pre-1980,0.691,0.548,-13.553,0.144,0.667,0.0369,0.106,0.015,137.145,4,0,4,4.37,High popularity
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,79,1972-05-19,1972,5,pre-1980,0.532,0.601,-9.119,0.0925,0.342,0.0286,5.95e-06,0.433,136.576,4,1,10,4.69,High popularity
Heart-Shaped Box,Nirvana,rock,79,1993-09-21,1993,9,1990s,0.641,0.256,-10.283,0.0853,0.382,0.0552,0.0329,0.199,203.006,4,1,1,4.69,High popularity
Life in the Fast Lane - 2013 Remaster,Eagles,rock,68,1976-12-08,1976,12,pre-1980,0.755,0.667,-7.246,0.0523,0.883,0.069,6.94e-05,0.0966,109.535,4,1,9,4.77,Medium popularity
Africa,TOTO,rock,83,1982-04-08,1982,4,1980s,0.373,0.671,-18.064,0.0481,0.732,0.0323,8.01e-05,0.257,92.718,4,1,9,4.93,High popularity
Comfortably Numb,Pink Floyd,rock,71,1979-11-30,1979,11,pre-1980,0.366,0.472,-12.595,0.0837,0.171,0.0286,0.312,0.15,127.163,4,0,11,6.37,High popularity
Black Dog - Remaster,Led Zeppelin,rock,69,1971-11-08,1971,11,pre-1980,0.864,0.437,-7.842,0.242,0.749,0.0904,0.0314,0.396,81.394,4,0,4,4.92,Medium popularity
No One Knows,Queens of the Stone Age,rock,69,2002-01-01,2002,1,2000s,0.584,0.509,-4.907,0.384,0.685,0.057,9.96e-05,0.0368,170.411,4,1,0,4.65,Medium popularity
Loser,Beck,rock,69,1994-03-01,1994,3,1990s,0.611,0.654,-10.45,0.405,0.786,0.119,0.000178,0.0337,85.387,4,1,2,3.92,Medium popularity
Roxanne,The Police,rock,77,1978-11-02,1978,11,pre-1980,0.748,0.618,-8.905,0.0473,0.663,0.358,4.1e-06,0.0384,134.114,4,1,0,3.2,High popularity
My Sharona,The Knack,rock,69,1979-01-01,1979,1,pre-1980,0.7,0.586,-9.558,0.0318,0.897,0.0363,0.00125,0.0589,147.245,4,1,0,4.92,Medium popularity
Walk On the Wild Side,Lou Reed,rock,74,1972-12-01,1972,12,pre-1980,0.318,0.575,-16.729,0.0934,0.385,0.109,0.000202,0.683,104.522,4,1,0,4.24,High popularity
Highway to Hell,AC/DC,rock,84,1979-07-27,1979,7,pre-1980,0.913,0.574,-4.793,0.156,0.423,0.133,0.00158,0.061,115.728,4,0,6,3.47,High popularity
Alive,Pearl Jam,rock,73,1991-08-27,1991,8,1990s,0.875,0.284,-6.069,0.402,0.595,0.0422,0.000461,0.00752,75.009,4,0,11,5.68,High popularity
The Best,Tina Turner,rock,69,1989-09-13,1989,9,1980s,0.737,0.662,-9.54,0.119,0.744,0.0296,0.0191,0.108,103.867,4,1,0,5.5,Medium popularity
Give It Away,Red Hot Chili Peppers,rock,72,1991-09-24,1991,9,1990s,0.936,0.666,-9.919,0.153,0.776,0.0476,0.086,0.00244,91.577,4,1,7,4.72,High popularity
Good Riddance (Time of Your Life),Green Day,rock,79,1997-10-14,1997,10,1990s,0.432,0.475,-7.844,0.161,0.648,0.0302,0.0,0.183,94.605,4,1,7,2.56,High popularity
The Boys Of Summer,Don Henley,rock,73,1984-11-19,1984,11,1980s,0.549,0.516,-13.741,0.184,0.907,0.0373,0.00572,0.501,176.941,4,1,6,4.81,High popularity
Break on Through (To the Other Side),The Doors,rock,72,1967-01-04,1967,1,pre-1980,0.751,0.421,-9.584,0.17,0.789,0.0472,0.0,0.2,89.839,4,1,9,2.43,High popularity
Sabotage,Beastie Boys,rock,71,1994-05-23,1994,5,1990s,0.938,0.324,-7.332,0.0961,0.543,0.102,0.0321,0.032,168.131,4,0,6,2.97,High popularity
Pour Some Sugar On Me - Remastered 2017,Def Leppard,rock,72,1987-08-03,1987,8,1980s,0.953,0.267,-4.899,0.283,0.568,0.096,0.0,0.00211,84.989,4,0,1,4.46,High popularity
Learn to Fly,Foo Fighters,rock,73,1999-11-02,1999,11,1990s,0.919,0.465,-4.025,0.262,0.537,0.0408,2.07e-05,1.83e-05,135.997,4,1,4,3.92,High popularity
Hit Me With Your Best Shot,Pat Benatar,rock,70,1980-08-05,1980,8,1980s,0.58,0.741,-9.05,0.212,0.944,0.0304,3.61e-05,0.117,127.402,4,1,4,2.85,High popularity
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,rock,72,1994-06-07,1994,6,1990s,0.927,0.215,-7.327,0.126,0.49,0.0452,0.00661,0.000273,170.814,4,1,9,3.25,High popularity
Wish You Were Here,Pink Floyd,rock,75,1975-09-12,1975,9,pre-1980,0.262,0.481,-15.73,0.832,0.375,0.0414,0.0114,0.735,122.861,4,1,7,5.58,High popularity
Free Fallin',Tom Petty,rock,75,1989-01-01,1989,1,1980s,0.449,0.623,-13.333,0.0613,0.573,0.0253,0.0,0.212,84.383,4,1,5,4.27,High popularity
No Rain,Blind Melon,rock,73,1992-01-01,1992,1,1990s,0.476,0.389,-9.342,0.255,0.566,0.0316,5.09e-05,0.619,148.117,4,1,9,3.62,High popularity
Panama - 2015 Remaster,Van Halen,rock,72,1984-01-04,1984,1,1980s,0.978,0.526,-5.436,0.0744,0.451,0.108,4.75e-05,0.00122,141.167,4,1,8,3.5,High popularity
Would? (2022 Remaster),Alice In Chains,rock,72,1992-09-29,1992,9,1990s,0.842,0.297,-7.457,0.0848,0.586,0.0488,9.1e-06,0.000286,100.127,4,1,6,3.45,High popularity
Born to Run,Bruce Springsteen,rock,70,1975-08-25,1975,8,pre-1980,0.944,0.27,-4.199,0.116,0.606,0.0975,2.05e-05,0.00501,146.347,4,1,4,4.5,High popularity
Unforgettable,Nat King Cole,jazz,69,1954-01-01,1954,1,pre-1980,0.182,0.349,-13.507,0.143,0.178,0.031,0.0152,0.92,136.094,3,1,5,3.2,Medium popularity
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",classical,68,1976-01-01,1976,1,pre-1980,0.164,0.136,-18.756,0.109,0.071,0.0364,0.916,0.911,58.303,4,0,4,2.78,Medium popularity
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",classical,68,2007-09-25,2007,9,2000s,0.00527,0.184,-37.264,0.173,0.151,0.0432,0.887,0.995,170.612,3,0,1,5.26,Medium popularity
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",classical,75,2013-01-01,2013,1,2010s,0.449,0.447,-10.634,0.0697,0.036,0.0376,0.961,0.934,92.468,4,1,2,5.26,High popularity
HIM ALL ALONG,Gunna,hip-hop,76,2024-10-18,2024,10,2020s,0.507,0.872,-6.323,0.111,0.506,0.072,0.0,0.195,130.007,4,0,4,2.64,High popularity
Leave Me Alone,BigXthaPlug,hip-hop,71,2024-10-11,2024,10,2020s,0.802,0.835,-4.286,0.0882,0.374,0.243,7.33e-06,0.0311,128.085,4,1,7,2.4,High popularity
PLUTOSKI,Future,hip-hop,73,2024-09-20,2024,9,2020s,0.533,0.794,-8.206,0.207,0.15,0.0591,2.76e-05,0.14,120.011,4,1,9,2.98,High popularity
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",hip-hop,78,2024-10-11,2024,10,2020s,0.684,0.832,-4.691,0.229,0.68,0.359,0.0,0.00449,166.976,4,1,1,2.49,High popularity
Insecurities,Lil Baby,hip-hop,70,2024-11-15,2024,11,2020s,0.642,0.65,-5.332,0.0855,0.186,0.04,0.0,0.00502,111.907,4,1,2,2.12,High popularity
Gang Baby,NLE Choppa,hip-hop,72,2024-09-27,2024,9,2020s,0.699,0.92,-6.635,0.0745,0.484,0.358,0.0,0.00768,129.054,4,1,11,2.3,High popularity
Help Me,Real Boston Richey,hip-hop,73,2024-05-31,2024,5,2020s,0.709,0.749,-6.385,0.329,0.564,0.259,0.0,0.155,78.53,4,1,6,3.02,High popularity
No Face,Drake,hip-hop,78,2024-08-31,2024,8,2020s,0.69,0.853,-5.858,0.0835,0.471,0.0647,0.0,0.0771,125.951,4,1,10,2.29,High popularity
LIL DEMON,Future,hip-hop,77,2024-09-20,2024,9,2020s,0.754,0.863,-5.851,0.0913,0.301,0.0611,0.0,0.00125,131.001,4,1,11,2.32,High popularity
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",hip-hop,69,2024-08-22,2024,8,2020s,0.4,0.608,-9.519,0.119,0.089,0.32,0.000327,0.029,106.682,5,1,1,2.65,Medium popularity
Sorry Not Sorry,"Lil Yachty, Veeze",hip-hop,70,2024-08-16,2024,8,2020s,0.509,0.662,-9.159,0.266,0.549,0.322,0.0,0.247,157.94,4,1,1,2.28,High popularity
ALL RED,Playboi Carti,hip-hop,81,2024-09-13,2024,9,2020s,0.663,0.76,-4.763,0.305,0.209,0.0551,0.0,0.109,143.082,4,0,9,2.47,High popularity
I CAN’T LET GO,"Lil Tecca, Don Toliver",hip-hop,73,2024-09-20,2024,9,2020s,0.761,0.649,-4.204,0.207,0.313,0.152,0.0,0.00694,147.216,4,1,8,2.5,High popularity
Chill Bae,Lil Uzi Vert,hip-hop,76,2024-11-01,2024,11,2020s,0.663,0.672,-5.984,0.134,0.381,0.243,0.0,0.112,184.057,4,1,3,2.31,High popularity
2AM,BigXthaPlug,hip-hop,69,2024-10-11,2024,10,2020s,0.681,0.884,-5.839,0.277,0.324,0.149,0.0,0.0439,114.991,4,1,8,3.07,Medium popularity
It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",hip-hop,76,2024-08-30,2024,8,2020s,0.723,0.783,-4.881,0.159,0.294,0.135,0.0,0.0264,139.942,4,1,1,4.63,High popularity
