name,artist,genre,popularity,releaseDate,releaseYear,releaseMonth,timePeriod,energy,danceability,loudness,liveness,valence,speechiness,instrumentalness,acousticness,tempo,timeSignature,mode,key,durationMin,popularityGroup
Mais je t'aime,"Grand Corps Malade, Camille Lellouche",electronic,57,2021-09-10,2021,9,2020s,0.412,0.476,-10.529,0.112,0.209,0.131,9.04e-06,0.796,179.783,3,0,9,4.5,Medium popularity
Derrière le brouillard,"Grand Corps Malade, Louane",electronic,56,2021-09-10,2021,9,2020s,0.616,0.68,-8.528,0.127,0.229,0.107,0.0,0.167,109.842,4,0,6,4.22,Medium popularity
Pas l'temps pour les regrets,Lunatic,electronic,47,2000-01-01,2000,1,2000s,0.868,0.609,-4.535,0.0866,0.592,0.316,0.0,0.286,92.742,4,1,11,4.68,Medium popularity
On verra,Nekfeu,electronic,64,2015-06-08,2015,6,2010s,0.58,0.575,-6.801,0.0781,0.323,0.0668,0.0,0.166,75.195,4,1,0,3.52,Medium popularity
Qui peut le nier ! - Remasterisé,Oxmo Puccino,electronic,30,2018-04-27,2018,4,2010s,0.501,0.772,-5.887,0.197,0.379,0.297,1.16e-05,0.0106,90.967,4,1,0,4.24,Low popularity
AMNESIA,TIF,electronic,57,2023-03-10,2023,3,2020s,0.392,0.792,-8.039,0.0775,0.697,0.0711,0.0,0.864,119.983,4,0,1,2.61,Medium popularity
Heureux qui comme Ulysse,Georges Brassens,electronic,31,2016-10-14,2016,10,2010s,0.145,0.677,-14.238,0.12,0.698,0.0597,0.0,0.929,99.508,4,0,6,2.25,Low popularity
Le chant des sirènes,Fréro Delavega,electronic,62,2014-01-01,2014,1,2010s,0.474,0.73,-9.537,0.099,0.625,0.0351,2.85e-05,0.669,123.895,4,1,7,2.98,Medium popularity
FLEURS (feat. Tiakola),"Gazo, Tiakola",electronic,62,2022-07-01,2022,7,2020s,0.636,0.673,-7.431,0.108,0.438,0.0771,0.0,0.268,127.021,4,1,10,3.52,Medium popularity
Apollo13,"Mister V, Juice",electronic,36,2017-05-19,2017,5,2010s,0.667,0.789,-7.301,0.163,0.731,0.0514,0.0,0.356,132.009,4,1,9,3.44,Low popularity
T'as peur,"Aya Nakamura, Myke Towers",electronic,49,2023-01-27,2023,1,2020s,0.565,0.755,-5.595,0.111,0.407,0.273,2.77e-05,0.113,177.941,4,0,8,3.59,Medium popularity
CP_009_ Évidemment,"Orelsan, Angèle",electronic,51,2022-10-28,2022,10,2020s,0.67,0.713,-6.447,0.52,0.457,0.305,0.0,0.113,120.76,4,0,9,3.44,Medium popularity
Magenta,Bekar,electronic,60,2022-04-08,2022,4,2020s,0.552,0.726,-7.666,0.0714,0.629,0.0537,2.74e-06,0.534,138.032,4,0,1,1.76,Medium popularity
Salé,Niska,electronic,60,2017-09-22,2017,9,2010s,0.595,0.772,-7.576,0.25,0.37,0.0629,0.0,0.406,141.97,4,1,1,2.84,Medium popularity
Mélodie,OBOY,electronic,62,2020-07-03,2020,7,2020s,0.536,0.781,-8.188,0.0797,0.524,0.125,2.21e-06,0.36,95.034,4,1,0,2.76,Medium popularity
P A S C O M M E Ç A,"Tayc, Tiakola",electronic,64,2021-11-19,2021,11,2020s,0.691,0.765,-7.016,0.0951,0.711,0.0692,4.19e-05,0.226,102.025,4,1,1,2.97,Medium popularity
Céline,"Elh Kmer, So La Lune",electronic,47,2022-03-18,2022,3,2020s,0.578,0.622,-7.155,0.137,0.58,0.0836,0.0,0.602,140.709,4,1,7,2.75,Medium popularity
AMARU,Dinos,electronic,46,2022-05-24,2022,5,2020s,0.464,0.886,-8.947,0.0776,0.417,0.0794,0.00107,0.168,108.015,4,0,7,2.57,Medium popularity
Namek,Dinos,electronic,39,2015-01-19,2015,1,2010s,0.596,0.707,-8.284,0.0914,0.547,0.0422,0.0,0.55,120.954,4,1,0,3.95,Low popularity
"L’Amour, Les Baguettes, Paris",Stella Jang,electronic,50,2021-10-15,2021,10,2020s,0.132,0.369,-13.639,0.155,0.367,0.0413,4.69e-06,0.954,78.412,4,1,0,2.79,Medium popularity
Δ. Dieu ne ment jamais,Damso,electronic,66,2017-04-28,2017,4,2010s,0.736,0.756,-7.719,0.0373,0.612,0.0443,4.96e-06,0.0597,115.983,4,1,11,3.32,Medium popularity
DJ,Diam's,electronic,54,2003-05-12,2003,5,2000s,0.623,0.916,-7.648,0.179,0.816,0.118,0.0,0.15,123.08,4,1,4,4.52,Medium popularity
Billets,Gradur,electronic,18,2019-11-29,2019,11,2010s,0.72,0.615,-5.809,0.0933,0.3,0.341,0.0,0.706,127.385,4,0,1,3.26,Low popularity
Des milliers de je t'aime,Slimane,electronic,63,2022-09-01,2022,9,2020s,0.552,0.532,-6.005,0.0815,0.296,0.0522,0.0,0.725,134.768,4,0,6,3.55,Medium popularity
Hijo de la Luna - Fils de la Lune,The Top Club Band,electronic,21,2013-10-21,2013,10,2010s,0.412,0.425,-13.607,0.0919,0.38,0.0273,0.179,0.84,177.144,3,0,1,4.34,Low popularity
BANKSY,"Recycled J, Selecta",electronic,39,2021-09-24,2021,9,2020s,0.509,0.745,-7.486,0.147,0.504,0.0486,0.0,0.391,127.143,4,0,5,3.4,Low popularity
La maladie d'amour,Michel Sardou,electronic,54,2004-01-01,2004,1,2000s,0.44,0.382,-10.124,0.0992,0.411,0.0295,0.00106,0.777,137.321,4,1,10,3.5,Medium popularity
Les mots bleus,Christophe,electronic,54,2013-03-18,2013,3,2010s,0.71,0.343,-4.412,0.0308,0.391,0.0371,1.42e-06,0.497,138.241,4,1,11,4.18,Medium popularity
Aimer à perdre la raison,Jean Ferrat,electronic,29,1995-11-23,1995,11,1990s,0.343,0.311,-10.186,0.136,0.412,0.0299,1.82e-06,0.77,100.551,4,1,0,2.38,Low popularity
Comme d'habitude,Claude François,electronic,52,1993-01-01,1993,1,1990s,0.487,0.325,-8.512,0.288,0.489,0.0297,1.01e-06,0.143,85.706,4,1,5,4.16,Medium popularity
Coup de vieux,"Bigflo & Oli, Julien Doré",electronic,58,2022-06-23,2022,6,2020s,0.624,0.834,-8.565,0.106,0.831,0.0838,0.0,0.0729,115.981,4,0,9,3.87,Medium popularity
Dommage,Bigflo & Oli,electronic,58,2017-11-03,2017,11,2010s,0.595,0.757,-8.125,0.131,0.811,0.147,0.0,0.375,172.07,4,0,9,3.97,Medium popularity
Hit Sale,"Therapie TAXI, Roméo Elvis",electronic,63,2018-02-02,2018,2,2010s,0.784,0.573,-5.224,0.0844,0.69,0.0591,0.0,0.141,82.009,4,1,9,3.07,Medium popularity
Eté 90,Therapie TAXI,electronic,65,2021-01-08,2021,1,2020s,0.618,0.649,-7.691,0.0911,0.381,0.0779,1.16e-06,0.0215,92.02,4,1,9,3.21,Medium popularity
Papa,"Bigflo & Oli, Fabian Ordonez",electronic,43,2017-11-03,2017,11,2010s,0.684,0.781,-6.169,0.442,0.563,0.318,0.0,0.256,103.978,4,0,0,5.3,Medium popularity
1000°C,"Lomepal, Roméo Elvis",electronic,53,2018-12-07,2018,12,2010s,0.553,0.706,-8.056,0.111,0.392,0.112,3.44e-05,0.263,102.996,4,0,3,3.93,Medium popularity
Soleil,Roméo Elvis,electronic,49,2019-04-12,2019,4,2010s,0.766,0.702,-6.578,0.174,0.512,0.172,0.0,0.259,124.011,4,0,4,2.87,Medium popularity
40%,Aya Nakamura,electronic,57,2019-10-25,2019,10,2010s,0.693,0.841,-7.335,0.133,0.678,0.205,3.99e-06,0.396,92.021,4,1,11,2.92,Medium popularity
Lolita,Ashh,electronic,52,2017-07-07,2017,7,2010s,0.675,0.474,-5.901,0.131,0.386,0.233,0.0,0.22,83.204,4,1,3,3.7,Medium popularity
J't'emmène au vent,Louise Attaque,electronic,65,1997-04-22,1997,4,1990s,0.772,0.567,-5.577,0.101,0.597,0.0365,0.0,0.252,137.014,4,1,6,3.07,Medium popularity
A minuit,Bekar,electronic,52,2023-05-31,2023,5,2020s,0.623,0.712,-8.473,0.214,0.869,0.0439,0.0,0.4,75.996,4,0,0,2.21,Medium popularity
Les feuilles mortes,Yves Montand,electronic,34,2017-11-10,2017,11,2010s,0.146,0.391,-15.246,0.0996,0.158,0.0438,0.000243,0.984,88.934,3,0,2,3.35,Low popularity
Elle Danse sexy,"Sisi K, BB Model",electronic,33,2011-06-20,2011,6,2010s,0.838,0.63,-4.662,0.205,0.707,0.036,1.27e-05,0.00211,140.04,4,0,0,2.64,Low popularity
Magic in the Air (feat. Ahmed Chawki),"Magic System, Chawki",electronic,67,2014-05-16,2014,5,2010s,0.907,0.621,-3.923,0.067,0.884,0.0474,0.0,0.091,128.056,4,1,2,3.89,Medium popularity
Ambiance à l'africaine,Magic System,electronic,53,2011-04-01,2011,4,2010s,0.773,0.851,-5.159,0.214,0.734,0.263,0.0,0.192,131.559,4,0,9,3.06,Medium popularity
Bécane - A COLORS SHOW,Yamê,electronic,67,2023-06-01,2023,6,2020s,0.527,0.505,-7.765,0.0974,0.235,0.0958,0.0,0.327,120.462,4,1,10,3.04,Medium popularity
Petit à petit,Arcadian,electronic,34,2019-10-04,2019,10,2010s,0.774,0.806,-7.06,0.131,0.517,0.0831,0.0,0.106,109.999,4,0,7,2.96,Low popularity
I love you,"Dadju, Tayc",electronic,63,2023-12-08,2023,12,2020s,0.61,0.447,-6.161,0.0984,0.718,0.188,0.000175,0.316,138.266,5,0,1,3.96,Medium popularity
Les yeux de la mama,Kendji Girac,electronic,52,2016-11-25,2016,11,2010s,0.556,0.475,-6.06,0.0943,0.414,0.051,0.0,0.43,88.188,4,0,4,3.37,Medium popularity
Le vent nous portera,Noir Désir,electronic,58,2001-01-01,2001,1,2000s,0.702,0.669,-10.616,0.119,0.793,0.0582,0.0408,0.713,105.232,4,0,4,4.81,Medium popularity
Côte Ouest,47ter,electronic,42,2019-10-25,2019,10,2010s,0.594,0.771,-7.961,0.181,0.581,0.0945,0.0,0.501,152.039,4,1,8,3.89,Medium popularity
On avait dit,47ter,electronic,34,2019-10-25,2019,10,2010s,0.643,0.772,-6.58,0.0679,0.776,0.0447,0.0,0.541,120.014,4,0,10,3.68,Low popularity
Et même après je t'aimerai,Hoshi,electronic,58,2022-02-11,2022,2,2020s,0.621,0.589,-4.239,0.0919,0.253,0.038,0.0,0.287,100.055,4,1,1,3.27,Medium popularity
Tout va bien,roland decembre,electronic,14,2023-02-03,2023,2,2020s,0.624,0.742,-8.139,0.268,0.866,0.042,0.154,0.252,133.977,4,1,2,3.19,Low popularity
Dans ma tête,Nell Widmer,electronic,29,2023-05-05,2023,5,2020s,0.57,0.831,-8.572,0.122,0.478,0.127,0.0,0.2,115.02,4,0,6,2.71,Low popularity
Reste en Vie,Luidji,electronic,64,2023-06-22,2023,6,2020s,0.305,0.763,-8.174,0.774,0.551,0.269,0.000131,0.857,118.677,5,0,1,3.31,Medium popularity
Médicament,"Niska, Booba",electronic,52,2019-04-05,2019,4,2010s,0.653,0.665,-6.686,0.0769,0.381,0.0893,0.0,0.693,157.38,3,0,6,3.31,Medium popularity
Réseaux,Niska,electronic,63,2017-09-22,2017,9,2010s,0.668,0.795,-6.463,0.127,0.349,0.244,0.0,0.161,150.093,4,1,1,3.27,Medium popularity
P*Tain de m*Rde,Naza,electronic,47,2018-05-04,2018,5,2010s,0.802,0.776,-6.237,0.154,0.804,0.251,0.00356,0.27,140.014,4,1,0,3.29,Medium popularity
La mer,Charles Trenet,electronic,43,1990-06-25,1990,6,1990s,0.168,0.241,-16.267,0.373,0.556,0.0442,0.114,0.965,84.749,3,1,0,3.36,Medium popularity
Pacifique,Zoufris Maracas,electronic,39,2015-03-02,2015,3,2010s,0.412,0.651,-9.686,0.103,0.922,0.0517,0.0,0.444,179.852,3,0,3,6.7,Low popularity
Jardin d'hiver,Henri Salvador,electronic,53,2000-10-15,2000,10,2000s,0.144,0.684,-17.419,0.241,0.573,0.0708,0.0249,0.534,119.659,4,0,11,2.8,Medium popularity
La mémoire et la mer,Léo Ferré,electronic,22,2013-01-01,2013,1,2010s,0.281,0.42,-11.644,0.147,0.277,0.041,0.0,0.85,129.346,3,0,4,5.43,Low popularity
La maison près de la fontaine,Nino Ferrer,electronic,38,2004-01-01,2004,1,2000s,0.302,0.467,-10.322,0.36,0.18,0.0291,0.00065,0.788,88.15,4,0,5,3.75,Low popularity
Le sud,Nino Ferrer,electronic,57,2004-01-01,2004,1,2000s,0.56,0.534,-7.565,0.11,0.599,0.0236,9.63e-05,0.451,89.885,4,1,4,4.58,Medium popularity
Used to Be in Love,The Jungle Giants,indie,65,2017-07-07,2017,7,2010s,0.631,0.83,-5.238,0.0539,0.877,0.0313,0.0359,0.0022,128.013,4,0,11,3.71,Medium popularity
Booster Seat,Spacey Jane,indie,62,2020-06-12,2020,6,2020s,0.55,0.629,-5.403,0.108,0.7,0.0263,1.21e-06,0.042,111.962,4,1,11,4.48,Medium popularity
Sofa King,Royel Otis,indie,68,2023-03-31,2023,3,2020s,0.898,0.565,-5.055,0.254,0.864,0.0412,0.00296,0.00491,97.021,4,1,0,3.27,Medium popularity
Yellow Mellow,Ocean Alley,indie,62,2013-09-08,2013,9,2010s,0.852,0.493,-3.349,0.147,0.499,0.0802,9.72e-06,0.0231,86.309,4,0,11,3.76,Medium popularity
Out Of Luck,Old Mervs,indie,53,2021-08-06,2021,8,2020s,0.883,0.506,-5.063,0.104,0.5,0.0363,0.0,0.29,95.951,4,1,7,2.99,Medium popularity
Sunbleached Girl,Shag Rock,indie,55,2017-02-10,2017,2,2010s,0.603,0.718,-6.278,0.0781,0.474,0.0258,0.0,0.326,108.074,4,1,3,2.96,Medium popularity
Better in Blak,Thelma Plum,indie,51,2019-07-12,2019,7,2010s,0.849,0.673,-5.242,0.116,0.375,0.0544,0.000274,0.0186,148.002,4,1,1,3.21,Medium popularity
Money,Lime Cordiale,indie,55,2020-07-10,2020,7,2020s,0.585,0.646,-9.148,0.406,0.412,0.0336,0.293,0.163,110.058,4,1,4,3.97,Medium popularity
Australia Street,Sticky Fingers,indie,62,2013-03-08,2013,3,2010s,0.69,0.456,-8.092,0.0992,0.512,0.0448,0.0,0.0215,77.66,4,1,0,3.65,Medium popularity
Up In The Clouds,Skegss,indie,51,2018-09-07,2018,9,2010s,0.64,0.553,-9.246,0.205,0.478,0.0288,0.0,0.0109,104.989,4,1,0,2.49,Medium popularity
Feel the Way I Do,The Jungle Giants,indie,55,2017-07-07,2017,7,2010s,0.636,0.803,-4.64,0.0791,0.817,0.0322,0.00505,0.0231,122.966,4,0,11,3.42,Medium popularity
Rose Pink Cadillac,DOPE LEMON,indie,64,2022-01-07,2022,1,2020s,0.805,0.746,-6.827,0.104,0.906,0.0339,0.00685,0.321,100.003,4,1,1,4.37,Medium popularity
Tombstone,Ocean Alley,indie,55,2020-06-19,2020,6,2020s,0.542,0.334,-11.202,0.139,0.809,0.0263,0.000632,0.0117,169.31,4,1,5,4.0,Medium popularity
Glaciers,Lights & Motion,electronic,33,2018-02-02,2018,2,2010s,0.16,0.0789,-18.144,0.0943,0.0409,0.0362,0.786,0.733,56.449,4,1,7,2.94,Low popularity
The Ends,Luke Howard,electronic,24,2016-01-01,2016,1,2010s,0.0429,0.196,-19.749,0.152,0.0575,0.0395,0.983,0.977,69.569,5,1,11,3.57,Low popularity
Ariana,Tony Anderson,electronic,41,2020-01-17,2020,1,2020s,0.185,0.513,-24.03,0.101,0.0341,0.0348,0.897,0.967,92.992,4,1,6,9.29,Medium popularity
Rush/Rest,Benjamin Drewitz,electronic,21,2024-10-18,2024,10,2020s,0.163,0.398,-24.801,0.0811,0.371,0.033,0.905,0.987,166.037,4,0,2,2.51,Low popularity
Umbra,Jakob Ahlbom,electronic,18,2024-10-03,2024,10,2020s,0.233,0.257,-21.571,0.103,0.037,0.039,0.924,0.936,178.034,3,1,7,3.82,Low popularity
Solskur - Rework,"Patrik Berg Almkvisth, LUCHS, Hollie Kenniff",electronic,14,2023-11-10,2023,11,2020s,0.287,0.128,-18.719,0.0906,0.0392,0.0368,0.927,0.96,64.845,3,1,2,4.72,Low popularity
Enghave Lys,Henrik Lindstrand,electronic,21,2017-10-06,2017,10,2010s,0.106,0.612,-23.461,0.0854,0.251,0.0348,0.937,0.99,118.084,3,1,9,3.65,Low popularity
december - Music Within remix,"Dear Gravity, Music Within",electronic,34,2024-11-08,2024,11,2020s,0.167,0.417,-20.834,0.065,0.0769,0.0295,0.916,0.976,79.948,1,0,4,3.68,Low popularity
We Still Share the Same Sky,Koshun Nakao,electronic,19,2024-10-11,2024,10,2020s,0.132,0.208,-21.318,0.116,0.0916,0.0389,0.913,0.95,132.338,5,1,0,3.2,Low popularity
Monarch,From Somewhere Quiet,electronic,20,2024-03-08,2024,3,2020s,0.139,0.245,-17.824,0.0867,0.149,0.0313,0.91,0.593,103.549,4,1,2,3.24,Low popularity
Relent,Jakob Ahlbom,electronic,16,2022-11-11,2022,11,2020s,0.0917,0.24,-20.167,0.0767,0.0385,0.0357,0.867,0.964,70.294,4,1,10,3.63,Low popularity
New Beginning,AEMIA,electronic,12,2023-02-10,2023,2,2020s,0.206,0.124,-16.626,0.0619,0.0367,0.0368,0.786,0.926,84.122,4,1,5,4.99,Low popularity
love is like the wind,Ross Lara,electronic,25,2024-10-21,2024,10,2020s,0.00945,0.152,-30.46,0.123,0.249,0.0355,0.94,0.971,76.745,4,1,9,4.44,Low popularity
Autonomy,"Jakob Ahlbom, Hanna Ekström, Anna Dager",electronic,34,2023-12-01,2023,12,2020s,0.0732,0.18,-24.359,0.112,0.0703,0.0326,0.94,0.954,88.092,4,1,3,4.27,Low popularity
Restore - Instrumental,"Salt Of The Sound, Simon Wester",electronic,46,2024-10-11,2024,10,2020s,0.0798,0.254,-19.993,0.0734,0.0679,0.0308,0.977,0.943,86.126,4,1,2,3.02,Medium popularity
Trampoline,"Stilhed, Jacob David",electronic,31,2024-10-11,2024,10,2020s,0.0624,0.227,-28.311,0.109,0.0387,0.0376,0.939,0.761,69.11,3,1,8,3.25,Low popularity
Chapter Three,Sarah Watson,electronic,39,2024-05-24,2024,5,2020s,0.0445,0.267,-30.101,0.104,0.241,0.0321,0.911,0.987,70.694,4,1,0,2.16,Low popularity
dvale,bløeme,electronic,12,2024-11-14,2024,11,2020s,0.0661,0.171,-25.611,0.112,0.0393,0.0324,0.863,0.961,77.843,3,0,7,2.05,Low popularity
Cavendish Creek,Charlie Ryder,electronic,22,2024-10-18,2024,10,2020s,0.039,0.188,-32.36,0.168,0.0806,0.0397,0.915,0.971,128.309,3,1,9,2.42,Low popularity
Tundra,Immanu El,electronic,15,2021-06-04,2021,6,2020s,0.313,0.207,-19.806,0.127,0.0381,0.0484,0.888,0.936,112.876,4,1,7,3.9,Low popularity
Cambridge,From Somewhere Quiet,electronic,26,2024-05-03,2024,5,2020s,0.131,0.166,-18.157,0.0877,0.0703,0.0367,0.896,0.808,86.729,4,1,0,2.47,Low popularity
Heartbeat,Ross Lara,electronic,14,2024-09-23,2024,9,2020s,0.146,0.186,-23.549,0.286,0.0369,0.0349,0.938,0.916,79.161,4,1,1,5.05,Low popularity
cure all - reimagined,Dear Gravity,electronic,30,2024-09-20,2024,9,2020s,0.137,0.173,-22.641,0.0906,0.0391,0.0347,0.965,0.783,116.13,4,1,9,5.63,Low popularity
